Provincia,Variable,Valor,Alerta_Tipo,Umbral_Superior,Umbral_Inferior
león,Ocupacion_Camas,73055069689441,Valle,1.3373699820063196e+16,177476468831271.0
león,Ocupacion_Camas,886858111453,Valle,1.3373699820063196e+16,177476468831271.0
segovia,Ocupacion_Camas,946858397175698,Valle,1.2726696896867064e+16,1566699459757844.0
segovia,Ocupacion_Camas,829387241414385,Valle,1.2726696896867064e+16,1566699459757844.0
segovia,Ocupacion_Camas,790186516621414,Valle,1.2726696896867064e+16,1566699459757844.0
segovia,Ocupacion_Camas,919358363263652,Valle,1.2726696896867064e+16,1566699459757844.0
segovia,Ocupacion_Camas,757001918495828,Valle,1.2726696896867064e+16,1566699459757844.0
segovia,Ocupacion_Camas,74019186137103,Valle,1.2726696896867064e+16,1566699459757844.0
segovia,Ocupacion_Camas,719958475615446,Valle,1.2726696896867064e+16,1566699459757844.0
segovia,Ocupacion_Camas,960289645678157,Valle,1.2726696896867064e+16,1566699459757844.0
segovia,Ocupacion_Camas,753290961589339,Valle,1.2726696896867064e+16,1566699459757844.0
segovia,Ocupacion_Camas,733552120564941,Valle,1.2726696896867064e+16,1566699459757844.0
segovia,Ocupacion_Camas,700093101713737,Valle,1.2726696896867064e+16,1566699459757844.0
segovia,Ocupacion_Camas,902808891509465,Valle,1.2726696896867064e+16,1566699459757844.0
burgos,Ocupacion_Camas,82486832596289,Valle,1.337747023377379e+16,788999896464126.0
burgos,Ocupacion_Camas,744588806718194,Valle,1.337747023377379e+16,788999896464126.0
burgos,Ocupacion_Camas,97369058816814,Valle,1.337747023377379e+16,788999896464126.0
burgos,Ocupacion_Camas,704952586691712,Valle,1.337747023377379e+16,788999896464126.0
burgos,Ocupacion_Camas,87729309528377,Valle,1.337747023377379e+16,788999896464126.0
salamanca,Ocupacion_Camas,730651280815247,Valle,1.2412841552003528e+16,2148452389653883.0
salamanca,Ocupacion_Camas,885391362829838,Valle,1.2412841552003528e+16,2148452389653883.0
salamanca,Ocupacion_Camas,929585136874268,Valle,1.2412841552003528e+16,2148452389653883.0
salamanca,Ocupacion_Camas,855730885811132,Valle,1.2412841552003528e+16,2148452389653883.0
salamanca,Ocupacion_Camas,783674048174448,Valle,1.2412841552003528e+16,2148452389653883.0
salamanca,Ocupacion_Camas,841356566930045,Valle,1.2412841552003528e+16,2148452389653883.0
salamanca,Ocupacion_Camas,867362598271642,Valle,1.2412841552003528e+16,2148452389653883.0
salamanca,Ocupacion_Camas,972467369459697,Valle,1.2412841552003528e+16,2148452389653883.0
salamanca,Ocupacion_Camas,765677162133752,Valle,1.2412841552003528e+16,2148452389653883.0
salamanca,Ocupacion_Camas,931037014860037,Valle,1.2412841552003528e+16,2148452389653883.0
salamanca,Ocupacion_Camas,842402201045322,Valle,1.2412841552003528e+16,2148452389653883.0
zamora,Ocupacion_Camas,859853260516366,Valle,1.2899558926991158e+16,2046211667635112.0
zamora,Ocupacion_Camas,796884638940555,Valle,1.2899558926991158e+16,2046211667635112.0
zamora,Ocupacion_Camas,723102389643318,Valle,1.2899558926991158e+16,2046211667635112.0
zamora,Ocupacion_Camas,867015932995918,Valle,1.2899558926991158e+16,2046211667635112.0
zamora,Ocupacion_Camas,810422290669138,Valle,1.2899558926991158e+16,2046211667635112.0
zamora,Ocupacion_Camas,747733822688697,Valle,1.2899558926991158e+16,2046211667635112.0
zamora,Ocupacion_Camas,796970095204921,Valle,1.2899558926991158e+16,2046211667635112.0
zamora,Ocupacion_Camas,917482616532074,Valle,1.2899558926991158e+16,2046211667635112.0
zamora,Ocupacion_Camas,753699087565721,Valle,1.2899558926991158e+16,2046211667635112.0
zamora,Ocupacion_Camas,790220340964496,Valle,1.2899558926991158e+16,2046211667635112.0
valladolid,Ocupacion_Camas,702540273302763,Valle,1.290979659853403e+16,1524837525600484.0
valladolid,Ocupacion_Camas,783544840677198,Valle,1.290979659853403e+16,1524837525600484.0
valladolid,Ocupacion_Camas,791259129906581,Valle,1.290979659853403e+16,1524837525600484.0
valladolid,Ocupacion_Camas,86611802152685,Valle,1.290979659853403e+16,1524837525600484.0
valladolid,Ocupacion_Camas,872407766143828,Valle,1.290979659853403e+16,1524837525600484.0
valladolid,Ocupacion_Camas,869732839797128,Valle,1.290979659853403e+16,1524837525600484.0
valladolid,Ocupacion_Camas,978134342460416,Valle,1.290979659853403e+16,1524837525600484.0
valladolid,Ocupacion_Camas,930488724366785,Valle,1.290979659853403e+16,1524837525600484.0
valladolid,Ocupacion_Camas,787436100093663,Valle,1.290979659853403e+16,1524837525600484.0
valladolid,Ocupacion_Camas,734093335115077,Valle,1.290979659853403e+16,1524837525600484.0
valladolid,Ocupacion_Camas,783259413506315,Valle,1.290979659853403e+16,1524837525600484.0
valladolid,Ocupacion_Camas,763550114422302,Valle,1.290979659853403e+16,1524837525600484.0
valladolid,Ocupacion_Camas,772360853681709,Valle,1.290979659853403e+16,1524837525600484.0
soria,Ocupacion_Camas,91558451607047,Valle,1.31680770532971e+16,667499826764897.0
ávila,Ocupacion_Camas,791401401420922,Valle,1.2426065449442654e+16,2319757073089416.0
ávila,Ocupacion_Camas,769311187568945,Valle,1.2426065449442654e+16,2319757073089416.0
ávila,Ocupacion_Camas,807477202522983,Valle,1.2426065449442654e+16,2319757073089416.0
ávila,Ocupacion_Camas,790476583979678,Valle,1.2426065449442654e+16,2319757073089416.0
ávila,Ocupacion_Camas,771182882371298,Valle,1.2426065449442654e+16,2319757073089416.0
ávila,Ocupacion_Camas,834171304244208,Valle,1.2426065449442654e+16,2319757073089416.0
ávila,Ocupacion_Camas,801016305350968,Valle,1.2426065449442654e+16,2319757073089416.0
ávila,Ocupacion_Camas,704429905694363,Valle,1.2426065449442654e+16,2319757073089416.0
ávila,Ocupacion_Camas,875826014776338,Valle,1.2426065449442654e+16,2319757073089416.0
ávila,Ocupacion_Camas,838726588969075,Valle,1.2426065449442654e+16,2319757073089416.0
ávila,Ocupacion_Camas,950828087264127,Valle,1.2426065449442654e+16,2319757073089416.0
palencia,Ocupacion_Camas,800184378259916,Valle,1.2543547469524944e+16,3066451264039843.0
palencia,Ocupacion_Camas,804803094799142,Valle,1.2543547469524944e+16,3066451264039843.0
palencia,Ocupacion_Camas,716367291950395,Valle,1.2543547469524944e+16,3066451264039843.0
palencia,Ocupacion_Camas,906410463002028,Valle,1.2543547469524944e+16,3066451264039843.0
palencia,Ocupacion_Camas,851125133252784,Valle,1.2543547469524944e+16,3066451264039843.0
palencia,Ocupacion_Camas,815396660473576,Valle,1.2543547469524944e+16,3066451264039843.0
